epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.33702,2.93773,3.85429,2.60798,0.00317,0.20833,0.00339,0.00102,3.9748,3.72184,3.73811,1.25e-05,1.25e-05,1.25e-05
2,3.43079,2.77134,3.78424,2.52843,0.00305,0.20833,0.00346,0.00086,3.93102,3.67056,3.7518,3.72525e-05,3.72525e-05,3.72525e-05
3,4.71021,2.66276,3.77417,2.47396,0.0036,0.25,0.00383,0.00096,3.93255,3.66631,3.78016,6.1675e-05,6.1675e-05,6.1675e-05
4,5.5695,3.26469,3.92487,2.84206,0.00354,0.25,0.00361,0.00082,3.87521,3.65175,3.76093,8.57675e-05,8.57675e-05,8.57675e-05
5,6.78125,2.90955,3.83286,2.61285,0.00481,0.29167,0.01796,0.00385,2.66472,3.4981,2.64489,0.00010953,0.00010953,0.00010953
6,7.83736,2.09883,3.56843,2.03615,0.0127,0.875,0.22204,0.13625,1.41097,3.18698,1.72036,0.000132962,0.000132962,0.000132962
7,8.94761,1.55629,3.45135,1.705,0.01483,1,0.2988,0.1425,1.43007,3.06806,1.5382,0.000156065,0.000156065,0.000156065
8,10.3503,1.4318,3.36083,1.6417,0.01991,1,0.15279,0.08338,1.50754,3.07079,1.51583,0.000178838,0.000178838,0.000178838
9,11.5108,1.29158,3.09161,1.53123,0.02583,1,0.13331,0.07409,1.55348,3.10616,1.58123,0.00020128,0.00020128,0.00020128
10,13.1228,1.31724,2.83805,1.6009,0.02854,0.91667,0.11995,0.056,1.53763,3.18007,1.6315,0.000223392,0.000223392,0.000223392
11,14.5907,1.0963,2.69175,1.38149,0.03061,0.875,0.13182,0.08031,1.48028,3.18547,1.59343,0.000245175,0.000245175,0.000245175
12,15.597,1.08611,2.62683,1.39675,0.04245,0.95833,0.13834,0.08907,1.40728,3.12026,1.52036,0.000266628,0.000266628,0.000266628
13,16.7544,0.97501,2.26443,1.29466,0.0406,0.95833,0.19345,0.11796,1.28804,3.06638,1.40038,0.00028775,0.00028775,0.00028775
14,17.7971,0.88596,2.14544,1.25681,0.03945,0.95833,0.30066,0.19501,1.19917,3.02665,1.34211,0.000308542,0.000308542,0.000308542
15,18.8363,1.07054,2.16236,1.35896,0.03271,0.91667,0.30811,0.18317,1.20083,3.02705,1.35698,0.000329005,0.000329005,0.000329005
16,20.1415,0.92974,1.87711,1.24248,0.02906,0.83333,0.26705,0.18466,1.28896,2.96642,1.36056,0.000349138,0.000349138,0.000349138
